clientId,email,name,type
11908,vdobre@post.ro,Stancu Stancu,mobile
12294,florianasuciu@email.ro,Octavian Mocanu,mobile
11914,istoica@gmail.com,Eduard Diaconu,mobile
11658,stanescuioan@post.ro,Arsenie Dima,mobile
11020,qtabacu@141.ro,Dan Albu,mobile
10893,teodormazilescu@zzup.ro,Decebal Dinu,mobile
10382,gaanei@email.ro,Florica Oprea,mobile
10767,dumitrescuanica@gmail.com,Anghelina Dobre,mobile
10386,ababeialexandra@email.ro,Ionela Marin,mobile
12179,petronelanistor@kappa.ro,Nicolaie Suciu,mobile
11794,epop@141.ro,Ilarie Voinea,mobile
10268,marinica@post.ro,Hortensia Dumitrescu,mobile
11805,cpop@gmail.com,Roza Niță,mobile
11676,dimairidenta@zzup.ro,Corina Dumitrescu,mobile
10141,traian03@acasa.ro,Lucia Cristea,mobile
12320,ppreda@gmail.com,Bucur Dobre,mobile
10401,lidiastan@acasa.ro,Doina Stoica,mobile
10361,marcela89@gmail.com,Gabriela Diaconu,mobile
11937,nistoranghelina@zzup.ro,Cristian Marin,mobile
10920,lavinia27@email.ro,Nicolae Suciu,mobile
11307,qdobre@141.ro,Magdalena Dobre,mobile
10540,severina52@post.ro,Mihail Dumitrescu,mobile
12336,rdinu@email.ro,Rafael Mazilescu,mobile
10291,mariniridenta@post.ro,Pompiliu Mazilescu,mobile
11059,tomadoina@gmail.com,Ștefania Nistor,mobile
10934,oeftimie@gmail.com,Ilie Albu,mobile
11193,tabaculica@zzup.ro,Mărioara Diaconu,mobile
11587,manoledenis@email.ro,Ramona Georgescu,mobile
10573,qnemes@acasa.ro,Teona Barbu,mobile
10832,anastasiaoprea@zzup.ro,Natalia Florea,mobile
12241,dumitrescubernard@acasa.ro,Lucrețiu Gheorghiu,mobile
11472,romanita51@email.ro,Ladislau Dobre,mobile
10835,yababei@kappa.ro,Gicu Nistor,mobile
10072,albuprofira@acasa.ro,Cedrin Florea,mobile
12123,puscasuflorin@post.ro,Alexe Popescu,mobile
10205,oeftimie@kappa.ro,Mitruț Tomescu,mobile
10974,cristeagina@141.ro,Zaraza Niță,mobile
11620,tudorleopoldina@kappa.ro,Ovidiu Tomescu,mobile
10724,dobreoctavian@gmail.com,Raluca Suciu,mobile
10854,opreavicentia@gmail.com,Stelian Popa,mobile
10343,stancuvictor@acasa.ro,Felicia Georgescu,mobile
11497,octaviaionita@kappa.ro,Panait Eftimie,mobile
12139,albumartin@post.ro,Crina Dobre,mobile
10859,haralamb19@email.ro,Agata Ioniță,mobile
10736,lili21@zzup.ro,Anatolie Manole,mobile
11633,dobreveronica@141.ro,Ecaterina Cristea,mobile
11506,dstancu@post.ro,Anișoara Ardelean,mobile
11379,emanuela45@acasa.ro,Ofelia Stan,mobile
10105,ystancu@zzup.ro,Dinu Nistor,mobile
10235,popvlad@zzup.ro,Beatrice Mazilescu,mobile
