id,clientId,clientName,clientAddress,amount,issueDate,dueDate,period,status,provider,providerInfo
20045,11908,Stancu Stancu,Strada Republicii 25 Bra?ov,125.74,5/22/2025,6/11/2025,2025-05-22 - 2025-06-21,UNPAID,Digi Romania S.R.L,Digi Telecommunications Sdn Bhd (201283 - M) Lot 10 Jalan Delima 1/1. Subang Hi-Tech Industrial Park.40000 Subang Jaya. Selangor Darul Ehsan. MalaysiaSST License No : B16-1808-31023868
21632,12294,Octavian Mocanu,Strada Mure?enilor 5 Bra?ov,130.67,5/22/2025,6/11/2025,2025-05-22 - 2025-06-21,UNPAID,Digi Romania S.R.L,Digi Telecommunications Sdn Bhd (201283 - M) Lot 10 Jalan Delima 1/1. Subang Hi-Tech Industrial Park.40000 Subang Jaya. Selangor Darul Ehsan. MalaysiaSST License No : B16-1808-31023869
20758,11914,Eduard Diaconu,Strada Saturn 15 Bra?ov,143.88,5/22/2025,6/11/2025,2025-05-22 - 2025-06-21,UNPAID,Digi Romania S.R.L,Digi Telecommunications Sdn Bhd (201283 - M) Lot 10 Jalan Delima 1/1. Subang Hi-Tech Industrial Park.40000 Subang Jaya. Selangor Darul Ehsan. MalaysiaSST License No : B16-1808-31023870
23864,11658,Arsenie Dima,Strada Lunga 109 Bra?ov,139.21,5/22/2025,6/11/2025,2025-05-22 - 2025-06-21,UNPAID,Digi Romania S.R.L,Digi Telecommunications Sdn Bhd (201283 - M) Lot 10 Jalan Delima 1/1. Subang Hi-Tech Industrial Park.40000 Subang Jaya. Selangor Darul Ehsan. MalaysiaSST License No : B16-1808-31023871
25018,11020,Dan Albu,Strada De Mijloc 45 Bra?ov,117.45,5/22/2025,6/11/2025,2025-05-22 - 2025-06-21,UNPAID,Digi Romania S.R.L,Digi Telecommunications Sdn Bhd (201283 - M) Lot 10 Jalan Delima 1/1. Subang Hi-Tech Industrial Park.40000 Subang Jaya. Selangor Darul Ehsan. MalaysiaSST License No : B16-1808-31023872
22299,10893,Decebal Dinu,Strada Carpa?ilor 70 Bra?ov,149.83,5/22/2025,6/11/2025,2025-05-22 - 2025-06-21,UNPAID,Digi Romania S.R.L,Digi Telecommunications Sdn Bhd (201283 - M) Lot 10 Jalan Delima 1/1. Subang Hi-Tech Industrial Park.40000 Subang Jaya. Selangor Darul Ehsan. MalaysiaSST License No : B16-1808-31023873
24637,10382,Florica Oprea,Strada Castanilor 12 Bra?ov,101.96,5/22/2025,6/11/2025,2025-05-22 - 2025-06-21,UNPAID,Digi Romania S.R.L,Digi Telecommunications Sdn Bhd (201283 - M) Lot 10 Jalan Delima 1/1. Subang Hi-Tech Industrial Park.40000 Subang Jaya. Selangor Darul Ehsan. MalaysiaSST License No : B16-1808-31023874
21579,10767,Anghelina Dobre,Bulevardul Grivi?ei 78 Bra?ov,128.45,5/22/2025,6/11/2025,2025-05-22 - 2025-06-21,UNPAID,Digi Romania S.R.L,Digi Telecommunications Sdn Bhd (201283 - M) Lot 10 Jalan Delima 1/1. Subang Hi-Tech Industrial Park.40000 Subang Jaya. Selangor Darul Ehsan. MalaysiaSST License No : B16-1808-31023875
20013,10386,Ionela Marin,Strada Avram Iancu 9 Bra?ov,136.2,5/22/2025,6/11/2025,2025-05-22 - 2025-06-21,UNPAID,Digi Romania S.R.L,Digi Telecommunications Sdn Bhd (201283 - M) Lot 10 Jalan Delima 1/1. Subang Hi-Tech Industrial Park.40000 Subang Jaya. Selangor Darul Ehsan. MalaysiaSST License No : B16-1808-31023876
20546,12179,Nicolaie Suciu,Strada Castanilor 12 Bra?ov,121.79,5/22/2025,6/11/2025,2025-05-22 - 2025-06-21,UNPAID,Digi Romania S.R.L,Digi Telecommunications Sdn Bhd (201283 - M) Lot 10 Jalan Delima 1/1. Subang Hi-Tech Industrial Park.40000 Subang Jaya. Selangor Darul Ehsan. MalaysiaSST License No : B16-1808-31023877
22136,11794,Ilarie Voinea,Strada De Mijloc 45 Bra?ov,115.08,5/22/2025,6/11/2025,2025-05-22 - 2025-06-21,UNPAID,Digi Romania S.R.L,Digi Telecommunications Sdn Bhd (201283 - M) Lot 10 Jalan Delima 1/1. Subang Hi-Tech Industrial Park.40000 Subang Jaya. Selangor Darul Ehsan. MalaysiaSST License No : B16-1808-31023878
22227,10268,Hortensia Dumitrescu,Bulevardul Grivi?ei 78 Bra?ov,143.57,5/22/2025,6/11/2025,2025-05-22 - 2025-06-21,UNPAID,Digi Romania S.R.L,Digi Telecommunications Sdn Bhd (201283 - M) Lot 10 Jalan Delima 1/1. Subang Hi-Tech Industrial Park.40000 Subang Jaya. Selangor Darul Ehsan. MalaysiaSST License No : B16-1808-31023879
19865,11805,Roza Ni??,Strada Lunga 109 Bra?ov,113.45,5/22/2025,6/11/2025,2025-05-22 - 2025-06-21,UNPAID,Digi Romania S.R.L,Digi Telecommunications Sdn Bhd (201283 - M) Lot 10 Jalan Delima 1/1. Subang Hi-Tech Industrial Park.40000 Subang Jaya. Selangor Darul Ehsan. MalaysiaSST License No : B16-1808-31023880
19231,11676,Corina Dumitrescu,Strada Mure?enilor 5 Bra?ov,145.68,5/22/2025,6/11/2025,2025-05-22 - 2025-06-21,UNPAID,Digi Romania S.R.L,Digi Telecommunications Sdn Bhd (201283 - M) Lot 10 Jalan Delima 1/1. Subang Hi-Tech Industrial Park.40000 Subang Jaya. Selangor Darul Ehsan. MalaysiaSST License No : B16-1808-31023881
